climate	climat
global	global
warming	warm
carbon	carbon
fossil	fossil
oil	oil
energy	energi
environment	environ
co2	co2
green	green
ice	ice
melt	melt
sea	sea
temperature	temperatur
heat	heat
methane	methan
greenhouse	greenhous
arctic	arctic
antarctic	antarct
celsius	celsiu
fahrenheit	fahrenheit
melt	melt
ecosystem	ecosystem
pole	pole
environment	environ
coal	coal
nature	natur
human	human
economy	economi
electric	electr
future	futur
health	health
science	scienc
economic	econom
air	air
pollution	pollut
fire	fire
epa	epa
market	market
scientist	scientist
earth	earth
planet	planet
wind	wind
solar	solar
record	record
fuel	fuel
ocean	ocean
nuclear	nuclear
scientific	scientif
pipeline	pipelin
emit	emit
emission	emiss
concensus	concensu
renewable	renew
accord	accord
forest	forest
pruitt	pruitt
drought	drought
hurricane	hurrican
atmosphere	atmospher
activist	activist
coast	coast
agriculture	agricultur
water	water
plant	plant
